GO.ID	Term	Module1	Module2	Module3	Module4	Module5	Module6
25	GO:0071277	cellular response to calcium ion	Jund			Jun	Cpne4,Cpne9,Syt7,Hpca,Prkaa2,Mef2a,Fos,Cpne8,Syt4,Cpne5	Dmtn,Crhbp,Syt1,Cpne6,Asph,Lgmn,Syt2,Rasgrp2,Syt6,Junb
26	GO:0099645	neurotransmitter receptor localization to postsynaptic specialization membrane	Adam10				Nptxr,Nptx2,Rapgef4,Adam22,Gphn	Map2k1,Nptx1,Lgi1,Dlg2,Cnih3,Cacng3
27	GO:0035235	ionotropic glutamate receptor signaling pathway					Gria2,Grin2b,Atp1a3,App	Grin2a,Grin1
28	GO:0008344	adult locomotory behavior	Cntn2,Chd7		Mapt	Chl1,Inpp5f,Sez6l	Epha4,Scn8a,Atp1a3,Atxn1,Adam22,Sez6,Pafah1b1,App	Scn1a,Glrb,Cacnb4,Pmp22,Abhd12,Dnm1,Cend1,Grin1,Fgf12,Cstb
29	GO:0048488	synaptic vesicle endocytosis		Cd24a	Ap2m1	Dnm1l,Canx,Rock1	Napb,Syt7,A830010M20Rik,Synj1,Rab27b,Nlgn3,Snap91,Ppp3cb	Pacsin1,Sncb,Syt1,Sh3gl2,Dnm1,Syt2,Dnm3,Syp,Cltc
30	GO:0071870	cellular response to catecholamine stimulus	Akap6				Atp2b4,Pde4b,Ryr2,App	
31	GO:0019227	neuronal action potential propagation				Nrcam		Scn1b,Scn1a,Cacnb4,Pmp22,Cntnap1,Ntrk3,Fkbp1b
32	GO:0031630	regulation of synaptic vesicle fusion to presynaptic active zone membrane					Syt7	Vamp1,Syt1,Cplx1,Syt2,Rab3a,Cplx2
33	GO:0098969	neurotransmitter receptor transport to postsynaptic membrane				Grip1		Snap25,Stx4a,Stx1b,Cplx1,Mapk10,Vamp2,Clstn1
34	GO:0046185	aldehyde catabolic process						Glo1,Hagh,Haghl,Gpi1,Pnkd
35	GO:0006734	NADH metabolic process					Pfkp	Mdh1,Pfkl,Idh3a,Pfkm,Gpi1,Ldha,Ogdh
36	GO:1901379	regulation of potassium ion transmembrane transport	Akap6	Gal,Cd63		Ano6,Flna,Akap7	Dpp10,Atp1b2,Rgs4	Kcnip4,Atp1b1,Kcna1,Kcnab2,Kcnc1,Kcnc2,Vamp2,Prnp,Rgs7,Kcnip1,Neto2,Ank3
